"year","pop","r","rpcap"
1937,2256671866,0.0103806104500316,4.59996449037647e-12
1938,2280342907,0.0104347272231477,4.57594653467078e-12
1939,2303096438,0.00992866544278941,4.31100725048727e-12
1940,2327357744,0.0104791137373791,4.50257970197946e-12
1941,2344788534,0.00746161178837661,3.18221096707931e-12
1942,2363887111,0.00811212458623201,3.43168865741661e-12
1943,2381758939,0.00753191970088471,3.16233501953268e-12
1944,2399659920,0.00748776259309376,3.12034323309186e-12
1945,2417413700,0.00737122235945563,3.0492184103431e-12
1946,2435048602,0.00726846641599119,2.98493689613477e-12
1947,2454045831,0.00777130606449113,3.1667322453079e-12
1948,2474648090,0.00836017789925593,3.37833000701766e-12
1949,2500821769,0.0105211854089475,4.20709126070771e-12
1950,2471424002,-0.0118248819166712,-4.78464314787827e-12
1951,2514761693,0.0173835412429021,6.91259982657217e-12
1952,2559092377,0.0174746106049694,6.82844072454105e-12
1953,2609080302,0.0193451291305527,7.4145395661926e-12
1954,2659132169,0.0190020327827223,7.14595273008495e-12
1955,2712657551,0.0199289831916565,7.34666385895626e-12
1956,2767770034,0.0201131536039801,7.26691645509018e-12
1957,2823049954,0.0197758903725779,7.00515070396021e-12
1958,2882186720,0.0207314393457481,7.19295498861646e-12
1959,2940312621,0.0199666255509495,6.790647160559e-12
1960,2991588081,0.0172884678007677,5.77902683546882e-12
1961,3039353708,0.0158405195919516,5.21180524341643e-12
1962,3090385641,0.0166509892712854,5.38799722933524e-12
1963,3156362989,0.0211245258607917,6.69267949675345e-12
1964,3229252666,0.0228303258125103,7.06984809608897e-12
1965,3299722013,0.0215874887309838,6.54221435803835e-12
1966,3369345394,0.0208802539530635,6.19712481547491e-12
1967,3438736856,0.0203857305377962,5.92826127484184e-12
1968,3508088904,0.0199672064741246,5.69176181691335e-12
1969,3582285598,0.0209296144907804,5.84253095355253e-12
1970,3656697561,0.0205594024576188,5.62239619619962e-12
1971,3732670026,0.020563367887617,5.50902376700388e-12
1972,3807025705,0.0197244271729624,5.18105962538082e-12
1973,3882809654,0.0197107997896109,5.07642700674374e-12
1974,3958800430,0.0193820284562667,4.8959347153215e-12
1975,4034031762,0.018825255416473,4.66661060872257e-12
1976,4107438793,0.0180333564644719,4.39041392295482e-12
1977,4181053962,0.0177636892327317,4.24861515641249e-12
1978,4254673630,0.0174546976079891,4.1024762710152e-12
1979,4329521373,0.0174389421104614,4.02791454483054e-12
1980,4407557683,0.0178637241775038,4.05297569817506e-12
1981,4487654790,0.0180095241440246,4.01312600607244e-12
1982,4569899823,0.0181610372841045,3.97405588470479e-12
1983,4655447019,0.0185466518818973,3.98386058443023e-12
1984,4739208128,0.0178321241684418,3.76268011170194e-12
1985,4825142910,0.0179702928579097,3.72430271871673e-12
1986,4912744021,0.0179922964425225,3.66237206042341e-12
1987,5003401655,0.0182853626661778,3.65458620494816e-12
1988,5096091140,0.0183557906114431,3.60193530829261e-12
1989,5187893944,0.0178540209601731,3.4414776309801e-12
1990,5280969520,0.0177818783884877,3.36716171550404e-12
1991,5374636700,0.017581278957718,3.27115671980546e-12
1992,5462835083,0.0162769199342703,2.97957373542596e-12
1993,5549144549,0.0156758795969911,2.82491822993078e-12
1994,5633945045,0.0151661346725454,2.69192094552022e-12
1995,5717157466,0.0146618201338685,2.56452970222746e-12
1996,5800600498,0.0144897109616425,2.49796740296775e-12
1997,5883510969,0.0141922409555414,2.41220608414258e-12
1998,5966064664,0.013933837500194,2.33551566818786e-12
1999,6048068715,0.0136514756330809,2.25716278639881e-12
2000,6129943964,0.0134466082140755,2.1935939860209e-12
2001,6213462023,0.0135326235971633,2.1779522506246e-12
2002,6296410896,0.0132615397786349,2.10620621774537e-12
