"x.R.Phase1","R.fit","R.upr","R.lwr","x.G.Phase1","G.fit","G.upr","G.lwr"
1.94972273757576,0.00795268746588494,0.00833963910915302,0.00756573582261685,1.94972273757576,0.00800829883415589,0.00840863406937706,0.00760796359893472
1.97471918292929,0.00805047941536337,0.00844937878815201,0.00765158004257473,1.97471918292929,0.00808638104372414,0.0084966290393177,0.00767613304813058
1.99971562828283,0.00814827136484181,0.00855941069447929,0.00773713203520434,1.99971562828283,0.00816348106106846,0.00858369639979177,0.00774326572234516
2.02471207363636,0.00824606331432025,0.00866970949985555,0.00782241712878495,2.02471207363636,0.00823962328943349,0.00866984483322354,0.00780940174564344
2.0497085189899,0.00834385526379869,0.00878025225742118,0.0079074582701762,2.0497085189899,0.00831483123373905,0.00875508408584552,0.00787457838163259
2.07470496434343,0.00844164721327713,0.00889101820137845,0.0079922762251758,2.07470496434343,0.0083891275441379,0.00883942477326213,0.00793883031501368
2.09970140969697,0.00853943916275557,0.00900198855172052,0.00807688977379061,2.09970140969697,0.00846253405696528,0.00892287821131206,0.00800218990261851
2.12469785505051,0.008637231112234,0.00911314632831437,0.00816131589615364,2.12469785505051,0.00853507183326502,0.00900545626976003,0.00806468739677001
2.14969430040404,0.00873502306171244,0.00922447617687474,0.00824556994655015,2.14969430040404,0.0086067611950627,0.00908717124633729,0.0081263511437881
2.17469074575758,0.00883281501119088,0.0093359642081172,0.00832966581426456,2.17469074575758,0.00867762175954177,0.00916803575874987,0.00818720776033368
2.19968719111111,0.00893060696066932,0.00944759785050531,0.00841361607083333,2.19968719111111,0.00874767247126676,0.00924806265243988,0.00824728229009363
2.22468363646465,0.00902839891014776,0.00955936571641675,0.00849743210387876,2.22468363646465,0.00881693163258575,0.00932726492208181,0.00830659834308968
2.24968008181818,0.0091261908596262,0.00967125748117429,0.0085811242380781,2.24968008181819,0.00888541693233432,0.00940565564500265,0.00836517821966598
2.27467652717172,0.00922398280910463,0.00978326377415932,0.00866470184404995,2.27467652717172,0.00895314547295352,0.00948324792491905,0.00842304302098798
2.29967297252525,0.00932177475858307,0.00989537608110545,0.0087481734360607,2.29967297252525,0.00902013379612596,0.00956005484457708,0.00848021274767484
2.32466941787879,0.00941956670806151,0.0100075866566233,0.00883154675949972,2.32466941787878,0.00908639790702601,0.00963608942605767,0.00853670638799436
2.34966586323232,0.00951735865753995,0.0101198884460103,0.00891482886906962,2.34966586323232,0.0091519532972731,0.00971136459767119,0.00859254199687502
2.37466230858586,0.00961515060701839,0.0102322750154336,0.00899802619860316,2.37466230858586,0.00921681496667054,0.0097858931665076,0.00864773676683348
2.39965875393939,0.00971294255649682,0.0103447404896288,0.00908114462336481,2.3996587539394,0.00928099744380619,0.00985968779583485,0.00870230709177753
2.42465519929293,0.00981073450597526,0.0104572794963187,0.00916418951563183,2.42465519929293,0.00934451480558548,0.00993276098664812,0.00875626862452285
2.44965164464646,0.0099085264554537,0.0105698871166264,0.00924716579428101,2.44965164464647,0.0094073806957629,0.01000512506277,0.00880963632875583
2.47464809,0.0100063184049321,0.0106825588408243,0.00933007796903996,2.47464809,0.00946960834253261,0.0100767921589839,0.00886242452608127
